District,Num_Accidents,Population,Area
Hortaleza,101,180462,27.4197624962822
Moncloa-Aravaca,147,116903,46.5311356860402
Villa de Vallecas,43,107649,51.4672382522256
Chamartín,82,143424,9.17548212465925
Moratalaz,48,94197,6.3442
Salamanca,167,143800,5.3924041500993
Fuencarral-El Pardo,120,238756,237.838370174431
Centro,256,131928,5.2282
Carabanchel,83,243998,14.048315736132
Arganzuela,155,151965,6.46217591535296
Latina,81,233808,25.4272030154025
Ciudad Lineal,58,212529,11.4256779595942
Chamberí,135,137401,4.67918508335805
Retiro,140,118516,5.46
San Blas-Canillejas,76,154357,22.2923925363078
Tetuán,107,153789,5.37472525006254
Puente de Vallecas,86,240867,14.9686058743263
Vicálvaro,30,75485,35.2667113289003
Usera,49,142894,7.77771673918264
Barajas,35,46876,41.922811382191
Villaverde,38,149003,20.1875858768973
